m.09gjxn	 people person education	m.02zd2b
m.01m82r	 people place lived location	m.0dxq_8
m.0rmhk	 location location containedby	m.09c7w0
m.0k3p	 people place lived location	m.01v0y6
m.0jbrr	 location hud county place county	m.0cb4j
m.0d01f2	 government government position held office holder	m.09c7w0
m.0jnpv	 sports sports team roster team	m.0353c4
m.02_286	 location mailing address citytown	m.03pwg7
m.0rh7t	 location hud county place place	m.0rh7t
m.0jnm2	 sports sports team location	m.01smm
m.0l_q9	 location capital of administrative division capital of	m.0hjy
m.03hq7l	 education education student	m.014zws
m.05z6h0r	 business employment tenure person	m.02858gq
m.01r47h	 education educational institution students graduates	m.08rgr4
m.02g839	 education education institution	m.01kvqc
m.0lbp_	 people place of interment interred here	m.04py1z
m.0fm70	 people person place lived	m.0k33p
m.0vzm	 people place lived location	m.0dyywp
m.047bh_v	 people person place lived	m.0f1sm
m.03d2ks0	 base schemastaging athlete extra salary	m.0jnnx
m.072l_z	 people appointee position	m.02mjmr
m.088t84	 sports pro athlete teams	m.0j6tr
m.06c97	 people person children	m.02qvr8
m.021h50c	 location location contains	m.01h8rk
m.01_d4	 location location people born here	m.04rw7g
m.02y5kn	 people profession people with this profession	m.098gbt
m.07wrz	 location location containedby	m.09c7w0
m.01nkyj	 film film country	m.0f8l9c
m.01l63	 people place lived location	m.0gtddn
m.07s52	 business employer employees	m.084wz1
m.03r0g9	 film film story by	m.0fx02
m.01qgr3	 education education institution	m.04cv4m8
m.07brgk	 people person nationality	m.0d060g
m.05qfpl	 people person place lived	m.080h2
m.024_3b	 user robert us congress us representative state	m.059rby
m.03ksy	 business person company	m.026dswx
m.09b1k	 business company headquarters	m.01z_27q
m.084w8	 influence influence node influenced	m.038cf
m.027d7x	 baseball baseball player batting stats	m.05xvj
m.03cmxmn	 people person place lived	m.0xkqx
m.01v3bn	 people person nationality	m.09c7w0
m.047kcc	 people person nationality	m.0f8l9c
m.097r94	 education education student	m.0bwfn
m.0lyjf	 education educational institution students graduates	m.07c52
m.03cq21q	 people person place of birth	m.096gm
m.01z215	 location location adjoin s	m.0j1z8
m.02jx1	 location country second level divisions	m.09cpb
m.02dmvt	 people deceased person place of death	m.02_286
m.026mj	 location location partially contains	m.04dd6_
m.05k7sb	 location location contains	m.0788m6
m.0d9fk	 people person nationality	m.09lxtg
m.025mq9	 people person ethnicity	m.041rx
m.0ply0	 location location people born here	m.05c8f_
m.07rfnf	 people person place of birth	m.09c7w0
m.01wdl3	 education educational institution students graduates	m.01bq7x
m.09c7w0	 government governmental jurisdiction governing officials	m.020yj1
m.01w5m	 education education institution	m.0pxy0
m.0221g_	 education educational institution campus educational institution	m.0221g_
m.01pvx3	 business employer employees	m.02h8nw1
m.03tn2k	 sports pro athlete teams	m.01c_d
m.05wtd7	 people person place lived	m.03s5t
m.0n3ll	 location location contains	m.013htp
m.04njz5	 people person place of birth	m.0n1rj
m.0jm5b	 base schemastaging athlete salary team	m.04ck52
m.078bz	 education educational institution students graduates	m.04skgy
m.0202ny	 people person place of birth	m.0t4_d
m.083q7	 government political appointer appointees	m.05v8c
m.03qp2ml	 people person place of birth	m.030qb3t
m.027qjz2	 people person nationality	m.09c7w0
m.0f4vbz	 base popstra celebrity infidelity victim	m.0c6qh
m.0hyxv	 people place lived location	m.0bvlv
m.03_87	 influence influence node influenced	m.01rc9s
m.04881cy	 location location containedby	m.09c7w0
m.059rby	 people place lived location	m.01x3zd
m.01_d4	 location location people born here	m.02t_99
m.026zt	 geography river cities	m.015g7
m.0jmbv	 basketball basketball player stats team	m.084p_h
m.01mx2x9	 music artist label	m.017l96
m.03v0t	 location mailing address state province region	m.0894yh
m.048cl	 influence influence node influenced	m.0bt23
m.04b2xck	 location location containedby	m.09c7w0
m.0c5nv	 location location containedby	m.06mkj
m.0kcrd	 location location containedby	m.0gyh
m.0fxyd	 location location adjoin s	m.0mwzv
m.0b88h8	 people person place lived	m.071cn
m.02_qhd	 baseball baseball manager current team managed	m.01slc
m.0328bl	 people person place lived	m.0r41w
m.0jm5b	 sports sports team roster	m.04rpky
m.02cg2v	 base popstra celebrity dated	m.02xbw2
m.02nyg	 location location containedby	m.0cc56
m.06x68	 baseball batting statistics team	m.05ljcv
m.02vm6f	 influence influence node influenced by	m.023ng_
m.0d060g	 location location people born here	m.02py7kd
m.01rxyb	 film film release date s	m.02kmm
m.0vzm	 people place lived location	m.0hfwb
m.0142kg	 people person place lived	m.02_286
m.03d2ks0	 sports sports team roster player	m.0jnpc
m.02khs	 business company membership member	m.02vk52z
m.06b5lc	 people person employment history	m.01fr9b
m.0bc3dt	 people person nationality	m.09c7w0
m.05tfm	 sports sports team roster	m.07bthc
m.0f1sm	 location location people born here	m.01wwdb
m.059g4	 location location contains	m.01cpb_
m.0dv22k	 business employment tenure person	m.039d4
m.0gvbw	 business company headquarters	m.09c7w0
m.04rdc1	 business company headquarters	m.059rby
m.03p1f75	 business company headquarters	m.05qtj
m.02_286	 location location people born here	m.066yt4
m.010xjr	 base popstra celebrity friendship	m.0h0jz
m.02ccc5	 business company place founded	m.0t_gg
m.02h400t	 business industry companies	m.03g776
m.01pl8l0	 people person education	m.04sylm
m.05tg3	 base popstra organization supporter	m.02k4gv
m.0136jw	 location location containedby	m.0m2fr
m.0216q7	 location partial containment relationship partially contains	m.0d05q4
m.0r0tz	 location hud county place county	m.0kpys
m.0177z	 location mailing address state province region	m.02jxk
m.0wsr	 sports sports team roster team	m.0f17gc
m.03ftkk	 people person nationality	m.0f8l9c
m.0f__1	 people place lived location	m.02mxw0
m.0vm5t	 people place lived location	m.094xk3
m.04ych	 location location contains	m.04b1xy0
m.01t9jt	 business company founder organizations founded	m.04n7g
m.0c8spy	 people person place of birth	m.01sn3
m.068p2	 location place with neighborhoods neighborhoods	m.08gly6
m.0hptm	 people place lived location	m.01vysr
m.025y5x	 people person nationality	m.07ssc
m.03rk0	 base schemastaging phone sandbox service location	m.05wq3s
m.02rx4w0	 people person education	m.01w5m
m.037mh8	 education education major field of study	m.0fc33g
m.05xvj	 baseball batting statistics team	m.01k1rx
m.04vt3m	 business company headquarters	m.0fsb8
m.05d9z	 people marriage location of ceremony	m.026dkw
m.025t9xh	 people person nationality	m.0d05w3
m.038jw7	 people person place lived	m.01cx_
m.0524rry	 business employment tenure person	m.017733
m.059rby	 location location contains	m.0y68_
m.047cbw7	 people person nationality	m.02jx1
m.07tds	 education educational institution students graduates	m.059cm1
m.02w6bq	 education educational institution students graduates	m.01cp_j
m.0jmfv	 sports sports team arena stadium	m.02z7kx
m.01jsk6	 education educational institution students graduates	m.0bhvrn
m.02ps1qy	 people person nationality	m.09c7w0
m.0c12h	 film writer film	m.06nqyx
m.0gjv_	 education educational institution subsidiary or constituent schools	m.0vkl2
m.0qr4n	 people place lived location	m.05r68c
m.0hzlz	 location mailing address country	m.05g480
m.06pj8	 celebrities friendship friend	m.0bq2g
m.05fjf	 government political district representatives	m.0b341y
m.05vc952	 business employment tenure person	m.01nnsv
m.03g02c	 people person nationality	m.09c7w0
m.02183k	 education education institution	m.01xypd
m.0trv	 education education institution	m.02dlfh
m.02p_q_	 sports sports team roster player	m.05gg4
m.021ytm	 education education student	m.01jtp7
m.07y2s	 aviation airline airports served	m.0p1l2
m.0_60r	 location location containedby	m.05tbn
m.0mzww	 people place lived location	m.04pq3m
m.0ftjx	 people place lived location	m.068w8y
m.0gtqnz	 people person nationality	m.09c7w0
m.041rx	 people ethnicity people	m.024zf2
m.07x4c	 education educational institution students graduates	m.0202mc
m.0z8rf	 location location containedby	m.05mph
m.02wt0	 base popstra location vacationers	m.07r1h
m.02h400t	 business industry companies	m.02s_cd
m.02d02	 baseball batting statistics team	m.05mmk7
m.07ssc	 location country administrative divisions	m.028n3
m.035g_2	 business company headquarters	m.09c7w0
m.02g3w	 people person place lived	m.015zxh
m.018s6c	 people ethnicity people	m.02pszq0
m.01nr36	 people person education	m.026036
m.0bymv	 base popstra celebrity dated	m.020vkw
m.09c7w0	 location location contains	m.0wq36
m.059rby	 location location contains	m.0y1vp
m.02w_x8j	 people person place lived	m.02_286
m.0j5g9	 location location contains	m.02x_s2
m.07n_vn	 business company headquarters	m.07ssc
m.0d_14s	 people person nationality	m.09c7w0
m.0885rz	 people person place of birth	m.02_286
m.0855sw	 user szaijan fantasy football player nfl team	m.05g49
m.029b9k	 people person religion	m.03_gx
m.02x3c98	 people person nationality	m.09c7w0
m.06gst	 business company child	m.05gnf
m.0dsxv9	 sports sports league draft pick player	m.0jmj7
m.0f8l9c	 base schemastaging phone sandbox service location	m.011_65
m.07qdk9	 olympics olympic athlete medals won	m.09c7w0
m.09c7w0	 base schemastaging phone sandbox service location	m.029f32
m.03tq5z	 government government position held office holder	m.09c7w0
m.03817t	 travel tourist attraction near travel destination	m.01cx_
m.0n_7_	 location location contains	m.0rt80
m.015_1q	 music record label artist	m.01jpx7l
m.044f7	 influence influence node influenced by	m.081nh
m.069d71	 people person profession	m.01445t
m.0czv3f	 people person education	m.017z88
m.05k7sb	 location location contains	m.02jw3n
m.0sxdg	 business company relationship parent	m.0kqj31
m.028t4w	 olympics olympic athlete country	m.0d060g
m.09c7w0	 government governmental jurisdiction governing officials	m.06l70t
m.07t58	 government governmental body members	m.08nlt0
m.02ktt7	 business business operation industry	m.02wbm
m.01d5z	 baseball batting statistics team	m.06lbtv
m.09g62c	 people person employment history	m.07szy
m.04f_j27	 people person place lived	m.0cc56
m.0fz_x_	 education education student	m.01p5xy
m.05xvj	 sports professional sports team draft picks	m.09db2r
m.01w5m	 education education institution	m.078kyw
m.0yvfc	 location location people born here	m.05y0wnl
m.023psz	 people person place of birth	m.0ydsy
m.0n5jm	 location us county county seat	m.0xl9g
m.09c7w0	 location location people born here	m.026y4fg
m.02555z	 people person education	m.019_6d
m.054c1	 olympics olympic athlete affiliation athlete	m.09c7w0
m.03m58hp	 people person profession	m.05t4q
m.0414j79	 people person place lived	m.0zgjg
m.058t2d	 base popstra canoodled participant	m.0237fw
m.0fns55	 baseball baseball player batting stats	m.049n7
m.01w25t	 people person nationality	m.015fr
m.018q8v	 influence influence node influenced by	m.0379s
m.04gq51l	 business board member leader of	m.018p5f
m.05sn7z	 sports pro athlete teams	m.070xg
m.02g839	 education educational institution students graduates	m.01kvqc
m.0bxtg	 base popstra celebrity friendship	m.046zh
m.0132t8	 base popstra friendship participant	m.019pm_
m.08815	 education educational institution students graduates	m.04hx7x
m.03gvt9s	 base culturalevent event entity involved	m.0f8l9c
m.02qysx9	 people person nationality	m.0d060g
m.01l2fn	 people person nationality	m.02jx1
m.0f1sm	 location location containedby	m.01x73
m.02pb53	 people person nationality	m.09c7w0
m.03b42c	 olympics olympic medal honor medalist	m.028t4g
m.04jpl	 people place lived location	m.014z_l
m.02xktz	 architecture museum address	m.0dclg
m.022s5y	 american football football player receiving	m.05g3v
m.01ksp	 military military command military conflict	m.07ssc
m.0kwgs	 location location contains	m.0q8sw
m.07_fgp	 olympics olympic athlete country	m.09c7w0
m.034ssy	 people person nationality	m.09c7w0
m.0c28q8	 people person nationality	m.09c7w0
m.09c7w0	 military military combatant military conflicts	m.01mk6
m.05lx3r	 baseball baseball player batting stats	m.03m1n
m.01fd0f	 business company headquarters	m.081yw
m.0vzm	 people place lived location	m.04nt7q
m.01w3v	 education educational institution students graduates	m.017bcv
m.01b510	 people person place lived	m.0sgxg
m.07147	 base schemastaging athlete salary team	m.06tqtf
m.05p_mz	 sports pro athlete teams	m.06x68
m.0c864	 location location containedby	m.03rjj
m.0r03f	 location location people born here	m.0dvpq
m.0q6pk	 influence influence node influenced	m.048cl
m.0rlww	 location hud county place place	m.0rlww
m.051vz	 baseball batting statistics team	m.02qxs6y
m.04zkmf	 people person nationality	m.09c7w0
m.0ccvx	 location location people born here	m.03cfp0z
m.059yj	 business company board membership organization	m.01nzv8
m.043vc	 sports professional sports team draft picks	m.04mmw5
m.03w0hk	 olympics olympic medal honor medalist	m.06rxhn
m.09c7w0	 location location contains	m.053dg
m.061xq	 sports professional sports team draft picks	m.04q0f7
m.09c7w0	 olympics olympic athlete affiliation country	m.01q8vl
m.01c4pv	 business company member member of	m.07t65
m.0bzjf	 location location contains	m.0g9mz2
m.0ks67	 education educational institution students graduates	m.05b3lc
m.05v8c	 base schemastaging phone sandbox service location	m.0cmxrn
m.09c7w0	 location location contains	m.02cv45
m.06l_5j	 people person nationality	m.07ssc
m.07cbs	 government government position held appointed by	m.0294qn
m.0dmp4	 symbols name source namesakes	m.012mjr
m.07h2mb	 location location containedby	m.07ssc
m.09c7w0	 people place lived location	m.03w9hn3
m.01yjl	 baseball batting statistics team	m.01rz9g
m.03gyl	 government governmental jurisdiction governing officials	m.02dg4l
m.05qfpl	 base popstra canoodled participant	m.0pz91
m.084l5	 sports sports team roster	m.04f3r3
m.01j_5k	 education educational institution students graduates	m.0fgwj1
m.028bfsc	 film film written by	m.05wlcc
m.059rv	 people person spouse s	m.06c0j
m.044tt1	 people person nationality	m.07ssc
m.09vxg9	 people person place of birth	m.0qb1z
m.06pvkj	 people person place lived	m.030qb3t
m.01pgk0	 base popstra celebrity dated	m.02hhtj
m.0gvbw	 symbols namesake named after	m.06p699
m.0840w	 business person company	m.026ftyd
m.01fsgd	 location location containedby	m.031y2
m.0cymln	 basketball basketball player player statistics	m.0jm6n
m.0f2v0	 location location contains	m.04vjp5
m.09c7w0	 location location contains	m.04ldh9
m.026fx	 people person place lived	m.0fsb8
m.01g0jn	 sports sports league draft pick player	m.0cqt41
m.07wrz	 education education institution	m.01dyyw
m.04jpl	 location location people born here	m.026d77
m.0qj4w	 location location containedby	m.0hjy
m.0cr3d	 people place lived location	m.01p53j1
m.03f0fnk	 people person education	m.078bz
m.0jmj7	 sports professional sports team draft picks	m.078bz
m.095b70	 people person ethnicity	m.0x67
m.07147	 baseball batting statistics team	m.02zsw8
m.09cvn9	 business company headquarters	m.09c7w0
m.0v4fg	 location location containedby	m.09c7w0
m.027xx3	 education educational institution students graduates	m.0156y1
m.01qrb2	 education educational institution students graduates	m.03gsvjv
m.07b_l	 location mailing address state province region	m.0221g_
m.014zws	 education education institution	m.02jm5y
m.05fj8v	 business company board membership member	m.023xzp
m.0jmfb	 base schemastaging athlete salary team	m.0f4t_2
m.01n4w	 location location contains	m.060wq
m.03ryn	 location statistical region places exported to	m.016zwt
m.03d84p4	 business company headquarters	m.03v0t
m.02dh86	 business company member member of	m.01d_8r
m.09c7w0	 location mailing address country	m.017v3q
m.0s0__	 location location people born here	m.0c1jh
m.01cpqk	 education education student	m.08815
m.038r21	 education education student	m.03ksy
m.09c7w0	 location location contains	m.049_5xb
m.059rby	 location location contains	m.01_2h0
m.09c7w0	 location location contains	m.02bqy
m.0d060g	 olympics olympic athlete affiliation country	m.03qv21
m.0dg3n1	 location location contains	m.0lnfy
m.07l24	 sports sports team roster team	m.04jh0p8
m.06y7d	 education honorary degree recipient	m.020ddc
m.01qh0d	 people person education	m.0hd7j
m.01934k	 people person place lived	m.0f2r6
m.05tbn	 people place lived location	m.09jsd4
m.0r00l	 location location people born here	m.05sgsh
m.07w3r	 education education institution	m.06yvwl
m.06lxx9	 people person place lived	m.0r8df
m.0d4hc6	 people person nationality	m.09c7w0
m.06tnq0	 people person place of birth	m.0q_yc
m.02_286	 people place lived location	m.026941j
m.01vdrw	 influence influence node influenced by	m.03j0d
m.09c7w0	 location location people born here	m.09cyzn
m.03x_jch	 base ballet ballet school location	m.06pr6
m.01kmwj	 people person nationality	m.09c7w0
m.01l2fn	 base popstra vacation choice vacationer	m.03gh4
m.02h400t	 business industry companies	m.096k1t
m.0ycht	 location hud county place place	m.0ycht
m.0xqf3	 people place lived location	m.0gd9k
m.04jw85	 american football football coach coaching history	m.0289q
m.04zb1_	 film film starring	m.0h1m9
m.05fkf	 location mailing address state province region	m.04glfbz
m.059rby	 location location contains	m.0y8sw
m.03bdcd	 people person place of birth	m.0cr3d
m.04bdbty	 location location containedby	m.0dc3_
m.03ksy	 education education institution	m.081f4
m.07phth	 people person education	m.01_qgp
m.01n_g9	 education educational institution students graduates	m.0c71p5
m.04zykb	 people person place of birth	m.0jgvy
m.05g76	 baseball batting statistics team	m.0b5_p4
m.0162c8	 base popstra celebrity dated	m.015z4j
m.0z20d	 location location people born here	m.05w3xd
m.01k8x6	 business person company	m.02vmj5l
m.0gm34	 base popstra dated participant	m.0bmh4
m.0h1m9	 film performance actor	m.04zb1_
m.05b_6m	 people person place of birth	m.01fscv
m.09c7w0	 location location contains	m.0db94
m.06pwq	 education educational institution students graduates	m.01x5gj
m.06lr3h	 education education student	m.02hp70
m.05xwlk	 business company headquarters	m.09c7w0
m.0cg8qt	 baseball baseball player batting stats	m.01d6g
m.02qkt	 location location contains	m.03spz
m.0mmpz	 location us county hud county place	m.010r7h
m.02h5_1s	 people person nationality	m.09c7w0
m.06s_2	 location country capital	m.0fnc_
m.02_286	 location location people born here	m.055l67
m.022r38	 education educational institution students graduates	m.02y_z5p
m.0bk96w	 education education student	m.07tgn
m.0457pz	 basketball basketball player player statistics	m.0bwjj
m.019pm_	 base popstra breakup participant	m.015pkc
m.02z4jyg	 education education student	m.07vyf
m.03h_fqv	 people person place of birth	m.0r0ss
m.0wn0p	 location location containedby	m.09c7w0
m.056gyc	 government politician government positions held	m.09c7w0
m.0fvr1	 film film starring	m.02js6_
m.0616jj	 people person nationality	m.09c7w0
m.058gxn	 organization leadership person	m.01kvrz
m.0ks67	 education educational institution students graduates	m.02x2f5_
m.01my4f	 people person place lived	m.0tqcc
m.01x7wr	 business person company	m.02wzck2
m.012gbb	 base popstra dated participant	m.0gmtm
m.09c7w0	 location location contains	m.04913p0
m.0wn5h	 location hud county place place	m.0wn5h
m.01z9yq	 people person ethnicity	m.0x67
m.07tg4	 education educational institution students graduates	m.06gq_
m.028tlb	 people person education	m.0gl5_
m.01dzyc	 location statistical region religions	m.03_gx
m.03c_4s	 people person place of birth	m.0mnzd
m.03rjj	 olympics olympic athlete affiliation country	m.0152n0
m.0d__g	 architecture architect structures designed	m.08nxk0
m.015csj	 tv regular tv appearance actor	m.06rkl
m.02b29	 film writer film	m.015qnh
m.0_mwh	 people place lived location	m.097mq_
m.0c6_j8	 business company headquarters	m.01n7q
m.028vn7	 education education student	m.0kw4j
m.01yjl	 sports sports team roster team	m.046vz9
m.0vh7g	 location location containedby	m.059j2
m.016_mj	 influence influence node influenced by	m.02rwqm
m.06pbxz	 film actor film	m.050gkf
m.01rxqt	 base schemastaging organization extra phone number	m.07ssc
m.0tygl	 people place lived location	m.0df_jv
m.01y3c	 american football player passing statistics team	m.029b2g
m.05xvbp	 education education student	m.01w5m
m.0h7h6	 people place lived location	m.0p__8
m.03jy3w	 base popstra dated participant	m.02vy3c
m.0r8df	 location location people born here	m.06lxx9
m.05fjy	 location location contains	m.032pfx
m.02gm4_	 people person place of birth	m.030qb3t
m.017vbn	 people person education	m.02607j
m.02m3y	 influence influence node influenced	m.01m40r
m.02prn83	 business employment tenure person	m.045c7b
m.0170zz	 people person education	m.0kqj1
m.09c7w0	 location location contains	m.04b1sy3
m.07t58	 government governmental body members	m.06btq
m.03w2s	 organization membership organization members	m.06s_2
m.0d6lp	 location location people born here	m.07rfst
m.0p3_y	 film performance film	m.09y20
m.02qylxx	 people person education	m.017j69
m.07wlhr	 people person education	m.01bm_
m.0q100	 influence influence node influenced by	m.085wn
m.0695xm	 people person place of birth	m.0pqz3
m.0435v7	 education education student	m.0hd7j
m.01g23m	 base popstra celebrity canoodled	m.0hfwb
m.09c7w0	 people place lived location	m.0krzq7
m.0lp32	 people person education	m.0bwfn
m.027fcst	 sports sports team roster player	m.01d5z
m.03nzf1	 people person nationality	m.0hzlz
m.02_7t	 education field of study students majoring	m.02mp0g
m.03q2n6	 people person place of birth	m.0cr3d
m.0hwm2	 people deceased person place of death	m.05qtj
m.0jmfb	 sports sports team roster	m.01jzhl
m.045cl2	 education education student	m.01j_9c
m.07lmp	 people person place lived	m.013n2h
m.01cp92	 business employer employees	m.02n0j_
m.02cpb7	 celebrities celebrity sexual relationships	m.0c6qh
m.09c7w0	 location location people born here	m.09m_x6
m.0gv40	 influence influence node influenced	m.0151w_
m.02d02	 baseball batting statistics team	m.05v7wv
m.07c52	 media common netflix genre titles	m.0330r
m.04kcn	 location location containedby	m.09c7w0
m.07bklz	 education education student	m.017z88
m.03wv5jl	 people person education	m.014zws
m.03v1s	 location adjoining relationship adjoins	m.03v0t
m.03cvfg	 business sponsorship sponsored recipient	m.08z129
m.02_286	 government government position held jurisdiction of office	m.09jtmg
m.0knfs	 people marriage location of ceremony	m.0892sx
m.0d0xvz	 education education student	m.01bm_
m.02rtld	 people person nationality	m.0chghy
m.01rxyb	 film film release date s	m.03rjj
m.07tds	 business person company	m.081ghx
m.01kv4mb	 people person place of birth	m.0z53k
m.049006	 people person place lived	m.0f2w0
m.013qmk	 business company relationship parent	m.01j6d2
m.059rby	 government political district representatives	m.03x0cd
m.048xhgz	 location location containedby	m.0d0x8
m.0cwvnr	 people person parents	m.0lgrs
m.0dwh5	 location hud county place county	m.0kpzy
m.02vszw7	 people deceased person place of death	m.0dp90
m.0jmjr	 basketball basketball player stats team	m.08580h
m.025wdm6	 people person nationality	m.07ssc
m.09c7w0	 olympics olympic participating country athletes	m.069d71
m.03wy63s	 people person education	m.0kqj1
m.06pvhb	 people person place of birth	m.01sn3
m.07t65	 business company membership organization	m.0d05q4
m.0jmk7	 sports professional sports team draft picks	m.06mkj
m.0cr3d	 people place lived location	m.02wh28
m.02x_wm	 people person place lived	m.03khn
m.03rhdq	 people person place lived	m.0y35k
m.05mftw	 people person parents	m.027ccp0
m.04v311	 people person nationality	m.09c7w0
m.0xqd1	 location hud county place place	m.0xqd1
m.0fxq3	 location location containedby	m.06bnz
m.01mpwj	 education educational institution students graduates	m.025z7cg
m.0272qvs	 people person ethnicity	m.022fdt
m.0f5bn	 influence influence node influenced	m.01hb6v
m.02xry	 location location contains	m.0ply0
m.07g2b	 influence influence node influenced by	m.0c1jh
m.01d7lz	 government government position held office holder	m.0157m
m.03p2zx9	 business company headquarters	m.09c7w0
m.07tgn	 education education institution	m.07h4wz
m.07tg4	 business person company	m.067hb0
m.0jmmn	 basketball basketball player stats team	m.01lxjp7
m.0498y	 location location contains	m.0493xsl
m.02pkvpm	 base popstra friendship participant	m.0chw_
m.0c1c_t	 olympics olympic medal honor medalist	m.07ssc
m.013qmk	 base schemastaging organization extra phone number	m.06bnz
m.028r_3	 olympics olympic medal honor medalist	m.01x5bs
m.0100xy	 location location people born here	m.03ndm0
m.04mjl	 baseball batting statistics team	m.06w5zq
m.027rn	 people marriage location of ceremony	m.0qlry
m.0cc56	 location location people born here	m.02l_n5
m.09c7w0	 business company scope organizations with this scope	m.0ywmt
m.066118z	 people person place of birth	m.0xrz2
m.0x67	 people ethnicity people	m.02n358
m.0xl9g	 location location containedby	m.05fjf
m.02720j	 government government position held office holder	m.050ks
m.02b8t9	 music record label artist	m.02sxv_
m.044rv	 location location people born here	m.09gfdx
m.05c1q2	 education educational institution students graduates	m.02313j
m.014pxk	 people person spouse s	m.0160w
m.06_gr	 book newspaper circulation areas	m.0d6lp
m.0d0x8	 people place lived location	m.023kzp
m.0b24th	 people person nationality	m.09c7w0
m.016s03	 influence influence node influenced	m.060_7
m.07szy	 education educational institution students graduates	m.08j3hr
m.01gf5h	 music artist label	m.01dtcb
m.02lfcm	 people person nationality	m.09c7w0
m.01ypc	 baseball batting statistics team	m.052870
m.0dcxf	 influence peer relationship peers	m.02kz_
m.030_1m	 business employer employees	m.05zrx3v
m.0r00l	 location hud county place place	m.0r00l
m.070j2	 location location people born here	m.0pjp
m.035hm	 location location containedby	m.02qkt
m.08krj1	 business company headquarters	m.06wxw
m.0bkrxz	 people person nationality	m.09c7w0
m.03jgbp	 film performance actor	m.0p9lw
m.0gw9wb	 people person place of birth	m.0dclg
m.03nnsl	 baseball baseball player batting stats	m.05g76
m.07c6jv	 people person place lived	m.0cc56
m.09fqdt	 people person place of birth	m.09c7w0
m.0h7h6	 location location people born here	m.028rwr
m.02frhbc	 location location people born here	m.02ph2wc
m.0d6lp	 people marriage location of ceremony	m.01vk88
m.04rgjd	 location location containedby	m.04fh3
m.010cw1	 people place lived location	m.05lrr4
m.02_286	 location location people born here	m.0ggks5
m.0sqgt	 location location people born here	m.0h0fht
m.0b_sz8	 people person education	m.0bwfn
